group	linetype	xmin	xmax	showSelected3
1	1	0	91	false positive
2	1	0	91	false positive
3	1	0	91	false positive
4	1	0	91	false positive
5	1	0	91	false positive
6	1	0	91	false positive
7	0	0	91	correct
8	0	0	91	correct
9	0	0	91	correct
10	0	0	91	correct
11	0	0	91	correct
12	0	0	91	correct
13	0	0	91	correct
14	0	0	91	correct
15	0	0	91	correct
16	0	0	91	correct
17	0	0	91	correct
18	0	0	91	correct
19	0	0	91	correct
20	0	0	91	correct
21	0	0	91	correct
22	0	0	91	correct
23	0	0	91	correct
24	0	0	91	correct
25	0	0	91	correct
26	0	0	91	correct
27	0	0	91	correct
28	0	0	91	correct
29	0	0	91	correct
30	0	0	91	correct
31	0	0	91	correct
32	0	0	91	correct
33	0	0	91	correct
34	0	0	91	correct
35	0	0	91	correct
36	0	0	91	correct
37	0	0	91	correct
38	0	0	91	correct
39	0	0	91	correct
40	0	0	91	correct
41	0	0	91	correct
42	0	0	91	correct
43	0	0	91	correct
44	0	0	91	correct
45	0	0	91	correct
46	1	0	91	false positive
47	1	0	91	false positive
48	1	0	91	false positive
49	1	0	91	false positive
50	1	0	91	false positive
51	1	0	91	false positive
52	1	0	91	false positive
53	1	0	91	false positive
54	0	0	91	correct
55	0	0	91	correct
56	0	0	91	correct
57	0	0	91	correct
58	0	0	91	correct
59	0	0	91	correct
60	0	0	91	correct
61	0	0	91	correct
62	0	0	91	correct
63	0	0	91	correct
64	0	0	91	correct
65	0	0	91	correct
66	0	0	91	correct
67	0	0	91	correct
68	0	0	91	correct
69	0	0	91	correct
70	0	0	91	correct
71	0	0	91	correct
72	0	0	91	correct
73	0	0	91	correct
74	0	0	91	correct
75	0	0	91	correct
76	0	0	91	correct
77	0	0	91	correct
78	0	0	91	correct
79	0	0	91	correct
80	0	0	91	correct
81	0	0	91	correct
82	0	0	91	correct
83	0	0	91	correct
84	0	0	91	correct
85	0	0	91	correct
86	0	0	91	correct
87	0	0	91	correct
88	0	0	91	correct
89	0	0	91	correct
90	0	0	91	correct
