group	xintercept
1	-3.86536855728957
2	-3.63336855728957
3	-3.27236855728957
4	-3.06036855728957
5	-2.81536855728957
6	-2.58336855728957
7	-2.55736855728957
8	-2.54536855728957
9	-2.48836855728957
10	-2.40736855728957
11	-2.36036855728957
12	-2.32036855728957
13	-2.01336855728957
14	-1.68336855728957
15	-1.60736855728957
16	-1.57936855728957
17	-1.48236855728957
18	-1.25336855728957
19	-1.11136855728957
20	-1.02436855728957
21	-0.922368557289574
22	-0.866368557289574
23	-0.826368557289574
24	-0.725368557289574
25	-0.553368557289574
26	-0.345368557289574
27	-0.0633685572895737
28	0.151631442710426
29	0.405631442710426
30	0.618631442710426
31	0.718631442710426
32	0.884631442710426
33	1.03763144271043
34	1.12963144271043
35	1.27963144271043
36	1.44863144271043
37	1.71963144271043
38	2.05463144271043
39	2.19863144271043
40	2.25963144271043
41	2.31563144271043
42	2.75663144271043
43	3.17063144271043
44	3.23663144271043
45	3.34263144271043
46	-3.27755683144007
47	-3.15455683144007
48	-2.94255683144007
49	-2.75255683144008
50	-2.53455683144008
51	-2.29055683144007
52	-2.15955683144007
53	-2.09655683144007
54	-2.06655683144007
55	-2.03355683144007
56	-1.99655683144007
57	-1.94455683144007
58	-1.88155683144007
59	-1.72355683144008
60	-1.54755683144007
61	-1.36555683144007
62	-1.23555683144007
63	-1.18355683144007
64	-1.12655683144007
65	-1.11155683144007
66	-0.979556831440075
67	-0.850556831440075
68	-0.784556831440075
69	-0.524556831440075
70	-0.298556831440075
71	-0.239556831440075
72	-0.190556831440075
73	0.0664431685599254
74	0.378443168559925
75	0.507443168559925
76	0.674443168559925
77	0.819443168559925
78	0.917443168559925
79	1.10244316855993
80	1.28244316855993
81	1.35344316855993
82	1.56944316855993
83	1.83644316855993
84	1.90444316855993
85	1.99244316855993
86	2.18244316855993
87	2.58344316855993
88	2.97644316855993
89	3.07544316855993
90	3.12844316855993
91	-3.86536855728957
92	-3.63336855728957
93	-3.27236855728957
94	-3.06036855728957
95	-2.81536855728957
96	-2.58336855728957
97	-2.55736855728957
98	-2.54536855728957
99	-2.48836855728957
100	-2.40736855728957
101	-2.36036855728957
102	-2.32036855728957
103	-2.01336855728957
104	-1.68336855728957
105	-1.60736855728957
106	-1.57936855728957
107	-1.48236855728957
108	-1.25336855728957
109	-1.11136855728957
110	-1.02436855728957
111	-0.922368557289574
112	-0.866368557289574
113	-0.826368557289574
114	-0.725368557289574
115	-0.553368557289574
116	-0.345368557289574
117	-0.0633685572895737
118	0.151631442710426
119	0.405631442710426
120	0.618631442710426
121	0.718631442710426
122	0.884631442710426
123	1.03763144271043
124	1.12963144271043
125	1.27963144271043
126	1.44863144271043
127	1.71963144271043
128	2.05463144271043
129	2.19863144271043
130	2.25963144271043
131	2.31563144271043
132	2.75663144271043
133	3.17063144271043
134	3.23663144271043
135	3.34263144271043
136	-3.27755683144007
137	-3.15455683144007
138	-2.94255683144007
139	-2.75255683144008
140	-2.53455683144008
141	-2.29055683144007
142	-2.15955683144007
143	-2.09655683144007
144	-2.06655683144007
145	-2.03355683144007
146	-1.99655683144007
147	-1.94455683144007
148	-1.88155683144007
149	-1.72355683144008
150	-1.54755683144007
151	-1.36555683144007
152	-1.23555683144007
153	-1.18355683144007
154	-1.12655683144007
155	-1.11155683144007
156	-0.979556831440075
157	-0.850556831440075
158	-0.784556831440075
159	-0.524556831440075
160	-0.298556831440075
161	-0.239556831440075
162	-0.190556831440075
163	0.0664431685599254
164	0.378443168559925
165	0.507443168559925
166	0.674443168559925
167	0.819443168559925
168	0.917443168559925
169	1.10244316855993
170	1.28244316855993
171	1.35344316855993
172	1.56944316855993
173	1.83644316855993
174	1.90444316855993
175	1.99244316855993
176	2.18244316855993
177	2.58344316855993
178	2.97644316855993
179	3.07544316855993
180	3.12844316855993
