colour	x	xend	y	yend	key	showSelected.variable	showSelected.value	PANEL
#FF0000	1.81827275212282	1.81827275212282	-3.76072724787718	0.195727051766757	BIC 1 1	BIC.thresh	-5.579	1
#FF0000	1.708642484306	1.708642484306	-3.870357515694	-1.1087553605429	BIC 1 2	BIC.thresh	-5.579	1
#FF0000	1.65866101678505	1.65866101678505	-3.92033898321495	-1.00065642410924	BIC 1 3	BIC.thresh	-5.579	1
#FF0000	1.61680125683511	1.61680125683511	-3.96219874316489	-0.995123241844028	BIC 1 4	BIC.thresh	-5.579	1
#FF0000	1.61808543795914	1.61808543795914	-3.96091456204086	-3.96091456204086	BIC 1 11	BIC.thresh	-5.579	1
#FF0000	1.63737667622902	1.63737667622902	-3.94162332377098	-1.81065319423307	BIC 1 17	BIC.thresh	-5.579	1
#FF0000	1.8015651024153	1.8015651024153	-3.7774348975847	-3.7774348975847	BIC 4 1	BIC.thresh	-5.579	1
#FF0000	1.69659148379588	1.69659148379588	-3.88240851620412	-3.88240851620412	BIC 4 2	BIC.thresh	-5.579	1
#FF0000	1.63737667622902	1.63737667622902	-3.94162332377098	-3.94162332377098	BIC 4 3	BIC.thresh	-5.579	1
#FF0000	1.60615385014149	1.60615385014149	-3.97284614985851	-3.97284614985851	BIC 4 4	BIC.thresh	-5.579	1
#FF0000	1.60752259674322	1.60752259674322	-3.97147740325678	-3.97147740325678	BIC 4 11	BIC.thresh	-5.579	1
#FF0000	1.61550704222902	1.61550704222902	-3.96349295777098	-3.96349295777098	BIC 4 17	BIC.thresh	-5.579	1
#FF0000	1.83743301017525	1.83743301017525	-3.74156698982475	-0.694428755856871	BIC 6 1	BIC.thresh	-5.579	1
#FF0000	1.75874286533891	1.75874286533891	-3.82025713466109	-2.4887060208859	BIC 6 2	BIC.thresh	-5.579	1
#FF0000	1.71292862109817	1.71292862109817	-3.86607137890183	-3.44756655828744	BIC 6 3	BIC.thresh	-5.579	1
#FF0000	1.69969364431463	1.69969364431463	-3.87930635568537	-3.03711252743929	BIC 6 4	BIC.thresh	-5.579	1
#FF0000	1.66644278137904	1.66644278137904	-3.91255721862096	-3.14523459850271	BIC 6 11	BIC.thresh	-5.579	1
#FF0000	1.65564225297093	1.65564225297093	-3.92335774702907	-0.892319064459033	BIC 6 17	BIC.thresh	-5.579	1
#FF0000	1.79404271996657	1.79404271996657	-3.78495728003343	-0.552651313503627	BIC 8 1	BIC.thresh	-5.579	1
#FF0000	1.68181036945077	1.68181036945077	-3.89718963054923	-3.89718963054923	BIC 8 2	BIC.thresh	-5.579	1
