group	linetype	xmin	xmax	showSelected3
1	1	24	81.19521	false positive
2	1	24	81.19521	false positive
3	1	24	81.19521	false positive
4	1	24	81.19521	false positive
5	1	24	81.19521	false positive
6	1	24	81.19521	false positive
7	1	24	81.19521	false positive
8	1	24	81.19521	false positive
9	1	24	81.19521	false positive
10	1	24	81.19521	false positive
11	1	24	81.19521	false positive
12	1	24	81.19521	false positive
13	1	24	81.19521	false positive
14	1	24	81.19521	false positive
15	1	24	81.19521	false positive
16	1	24	81.19521	false positive
17	1	24	81.19521	false positive
18	1	24	81.19521	false positive
19	1	24	81.19521	false positive
20	1	24	81.19521	false positive
21	1	24	81.19521	false positive
22	1	24	81.19521	false positive
23	1	24	81.19521	false positive
24	1	24	81.19521	false positive
25	1	24	81.19521	false positive
26	1	24	81.19521	false positive
27	1	24	81.19521	false positive
28	1	24	81.19521	false positive
29	1	24	81.19521	false positive
30	1	24	81.19521	false positive
31	1	24	81.19521	false positive
32	1	24	81.19521	false positive
33	1	24	81.19521	false positive
34	0	24	81.19521	correct
35	0	24	81.19521	correct
36	0	24	81.19521	correct
37	0	24	81.19521	correct
38	0	24	81.19521	correct
39	0	24	81.19521	correct
40	0	24	81.19521	correct
41	0	24	81.19521	correct
42	0	24	81.19521	correct
43	0	24	81.19521	correct
44	0	24	81.19521	correct
45	0	24	81.19521	correct
46	1	24	81.19521	false positive
47	1	24	81.19521	false positive
48	1	24	81.19521	false positive
49	1	24	81.19521	false positive
50	1	24	81.19521	false positive
51	1	24	81.19521	false positive
52	1	24	81.19521	false positive
53	1	24	81.19521	false positive
54	1	24	81.19521	false positive
55	1	24	81.19521	false positive
56	1	24	81.19521	false positive
57	1	24	81.19521	false positive
58	1	24	81.19521	false positive
59	1	24	81.19521	false positive
60	1	24	81.19521	false positive
61	1	24	81.19521	false positive
62	1	24	81.19521	false positive
63	1	24	81.19521	false positive
64	1	24	81.19521	false positive
65	1	24	81.19521	false positive
66	1	24	81.19521	false positive
67	1	24	81.19521	false positive
68	1	24	81.19521	false positive
69	1	24	81.19521	false positive
70	1	24	81.19521	false positive
71	1	24	81.19521	false positive
72	1	24	81.19521	false positive
73	1	24	81.19521	false positive
74	1	24	81.19521	false positive
75	0	24	81.19521	correct
76	0	24	81.19521	correct
77	0	24	81.19521	correct
78	0	24	81.19521	correct
79	0	24	81.19521	correct
80	0	24	81.19521	correct
81	0	24	81.19521	correct
82	0	24	81.19521	correct
83	0	24	81.19521	correct
84	0	24	81.19521	correct
85	0	24	81.19521	correct
86	0	24	81.19521	correct
87	0	24	81.19521	correct
88	0	24	81.19521	correct
89	0	24	81.19521	correct
90	0	24	81.19521	correct
