group	xintercept
1	-3.71098456581274
2	-3.47898456581274
3	-3.11798456581274
4	-2.90598456581274
5	-2.66098456581274
6	-2.42898456581274
7	-2.40298456581274
8	-2.39098456581274
9	-2.33398456581274
10	-2.25298456581274
11	-2.20598456581274
12	-2.16598456581274
13	-1.85898456581274
14	-1.52898456581274
15	-1.45298456581274
16	-1.42498456581274
17	-1.32798456581274
18	-1.09898456581274
19	-0.956984565812737
20	-0.869984565812737
21	-0.767984565812737
22	-0.711984565812737
23	-0.671984565812737
24	-0.570984565812737
25	-0.398984565812737
26	-0.190984565812737
27	0.0910154341872631
28	0.306015434187263
29	0.560015434187263
30	0.773015434187263
31	0.873015434187263
32	1.03901543418726
33	1.19201543418726
34	1.28401543418726
35	1.43401543418726
36	1.60301543418726
37	1.87401543418726
38	2.20901543418726
39	2.35301543418726
40	2.41401543418726
41	2.47001543418726
42	2.91101543418726
43	3.32501543418726
44	3.39101543418726
45	3.49701543418726
46	-3.76851345982543
47	-3.64551345982543
48	-3.43351345982543
49	-3.24351345982543
50	-3.02551345982543
51	-2.78151345982543
52	-2.65051345982543
53	-2.58751345982543
54	-2.55751345982543
55	-2.52451345982543
56	-2.48751345982543
57	-2.43551345982543
58	-2.37251345982543
59	-2.21451345982543
60	-2.03851345982543
61	-1.85651345982543
62	-1.72651345982543
63	-1.67451345982543
64	-1.61751345982543
65	-1.60251345982543
66	-1.47051345982543
67	-1.34151345982543
68	-1.27551345982543
69	-1.01551345982543
70	-0.789513459825433
71	-0.730513459825433
72	-0.681513459825433
73	-0.424513459825433
74	-0.112513459825433
75	0.0164865401745667
76	0.183486540174567
77	0.328486540174567
78	0.426486540174567
79	0.611486540174567
80	0.791486540174567
81	0.862486540174567
82	1.07848654017457
83	1.34548654017457
84	1.41348654017457
85	1.50148654017457
86	1.69148654017457
87	2.09248654017457
88	2.48548654017457
89	2.58448654017457
90	2.63748654017457
91	-3.71098456581274
92	-3.47898456581274
93	-3.11798456581274
94	-2.90598456581274
95	-2.66098456581274
96	-2.42898456581274
97	-2.40298456581274
98	-2.39098456581274
99	-2.33398456581274
100	-2.25298456581274
101	-2.20598456581274
102	-2.16598456581274
103	-1.85898456581274
104	-1.52898456581274
105	-1.45298456581274
106	-1.42498456581274
107	-1.32798456581274
108	-1.09898456581274
109	-0.956984565812737
110	-0.869984565812737
111	-0.767984565812737
112	-0.711984565812737
113	-0.671984565812737
114	-0.570984565812737
115	-0.398984565812737
116	-0.190984565812737
117	0.0910154341872631
118	0.306015434187263
119	0.560015434187263
120	0.773015434187263
121	0.873015434187263
122	1.03901543418726
123	1.19201543418726
124	1.28401543418726
125	1.43401543418726
126	1.60301543418726
127	1.87401543418726
128	2.20901543418726
129	2.35301543418726
130	2.41401543418726
131	2.47001543418726
132	2.91101543418726
133	3.32501543418726
134	3.39101543418726
135	3.49701543418726
136	-3.76851345982543
137	-3.64551345982543
138	-3.43351345982543
139	-3.24351345982543
140	-3.02551345982543
141	-2.78151345982543
142	-2.65051345982543
143	-2.58751345982543
144	-2.55751345982543
145	-2.52451345982543
146	-2.48751345982543
147	-2.43551345982543
148	-2.37251345982543
149	-2.21451345982543
150	-2.03851345982543
151	-1.85651345982543
152	-1.72651345982543
153	-1.67451345982543
154	-1.61751345982543
155	-1.60251345982543
156	-1.47051345982543
157	-1.34151345982543
158	-1.27551345982543
159	-1.01551345982543
160	-0.789513459825433
161	-0.730513459825433
162	-0.681513459825433
163	-0.424513459825433
164	-0.112513459825433
165	0.0164865401745667
166	0.183486540174567
167	0.328486540174567
168	0.426486540174567
169	0.611486540174567
170	0.791486540174567
171	0.862486540174567
172	1.07848654017457
173	1.34548654017457
174	1.41348654017457
175	1.50148654017457
176	1.69148654017457
177	2.09248654017457
178	2.48548654017457
179	2.58448654017457
180	2.63748654017457
