group	linetype	xmin	xmax	showSelected3
1	1	0	125	false positive
2	1	0	125	false positive
3	1	0	125	false positive
4	1	0	125	false positive
5	1	0	125	false positive
6	1	0	125	false positive
7	1	0	125	false positive
8	1	0	125	false positive
9	1	0	125	false positive
10	1	0	125	false positive
11	1	0	125	false positive
12	1	0	125	false positive
13	1	0	125	false positive
14	1	0	125	false positive
15	1	0	125	false positive
16	1	0	125	false positive
17	1	0	125	false positive
18	1	0	125	false positive
19	1	0	125	false positive
20	1	0	125	false positive
21	1	0	125	false positive
22	1	0	125	false positive
23	1	0	125	false positive
24	1	0	125	false positive
25	0	0	125	correct
26	0	0	125	correct
27	0	0	125	correct
28	0	0	125	correct
29	0	0	125	correct
30	0	0	125	correct
31	0	0	125	correct
32	0	0	125	correct
33	0	0	125	correct
34	0	0	125	correct
35	0	0	125	correct
36	0	0	125	correct
37	0	0	125	correct
38	0	0	125	correct
39	0	0	125	correct
40	0	0	125	correct
41	0	0	125	correct
42	0	0	125	correct
43	0	0	125	correct
44	0	0	125	correct
45	0	0	125	correct
46	1	0	125	false positive
47	1	0	125	false positive
48	1	0	125	false positive
49	1	0	125	false positive
50	1	0	125	false positive
51	1	0	125	false positive
52	1	0	125	false positive
53	1	0	125	false positive
54	1	0	125	false positive
55	1	0	125	false positive
56	1	0	125	false positive
57	1	0	125	false positive
58	1	0	125	false positive
59	1	0	125	false positive
60	1	0	125	false positive
61	1	0	125	false positive
62	1	0	125	false positive
63	1	0	125	false positive
64	1	0	125	false positive
65	1	0	125	false positive
66	1	0	125	false positive
67	1	0	125	false positive
68	1	0	125	false positive
69	1	0	125	false positive
70	1	0	125	false positive
71	1	0	125	false positive
72	0	0	125	correct
73	0	0	125	correct
74	0	0	125	correct
75	0	0	125	correct
76	0	0	125	correct
77	0	0	125	correct
78	0	0	125	correct
79	0	0	125	correct
80	0	0	125	correct
81	0	0	125	correct
82	0	0	125	correct
83	0	0	125	correct
84	0	0	125	correct
85	0	0	125	correct
86	0	0	125	correct
87	0	0	125	correct
88	0	0	125	correct
89	0	0	125	correct
90	0	0	125	correct
