fill	xmin	xmax	showSelected1	showSelected2	group
#FFA500	53.7	135.006516	11 11	normal	24
#FFA500	53.7	135.006516	10 11	normal	19
#A445EE	53.7	135.006516	8 11	breakpoint	10
#A445EE	53.7	135.006516	4 11	breakpoint	5
#FFA500	53.7	135.006516	6 11	normal	35
#FFA500	53.7	135.006516	13 11	normal	29
#A445EE	53.7	135.006516	1 11	breakpoint	1
#FFA500	24	81.19521	1 17	normal	14
#FFA500	24	81.19521	11 17	normal	25
#FFA500	24	81.19521	10 17	normal	20
#A445EE	24	81.19521	8 17	breakpoint	11
#A445EE	24	81.19521	4 17	breakpoint	6
#FFA500	24	81.19521	6 17	normal	36
#FFA500	24	81.19521	13 17	normal	30
#FFA500	0	125	10 1	normal	18
#FFA500	0	125	8 1	normal	40
#A445EE	0	125	4 1	breakpoint	4
#FFA500	0	125	6 1	normal	34
#A445EE	0	125	11 1	breakpoint	2
#FFA500	0	125	1 1	normal	13
#FFA500	0	125	13 1	normal	28
#FFA500	0	93.3	6 2	normal	37
#A445EE	0	93.3	4 2	breakpoint	7
#FFA500	0	93.3	10 2	normal	21
#A445EE	0	93.3	8 2	breakpoint	12
#FFA500	0	93.3	1 2	normal	15
#FFA500	0	93.3	13 2	normal	31
#FFA500	0	93.3	11 2	normal	26
#FFA500	0	91	10 3	normal	22
#FFA500	0	91	8 3	normal	41
#FFA500	0	91	11 3	normal	27
#FFA500	0	91	1 3	normal	16
#FFA500	0	91	13 3	normal	32
#A445EE	0	91	4 3	breakpoint	8
#FFA500	0	91	6 3	normal	38
#FFA500	0	50.4	10 4	normal	23
#FFA500	0	50.4	8 4	normal	42
#A445EE	0	50.4	4 4	breakpoint	9
#FFA500	0	50.4	6 4	normal	39
#A445EE	0	50.4	11 4	breakpoint	3
#FFA500	0	50.4	1 4	normal	17
#FFA500	0	50.4	13 4	normal	33
