group	linetype	xmin	xmax	showSelected3
1	0	24	81.19521	correct
2	0	24	81.19521	correct
3	0	24	81.19521	correct
4	0	24	81.19521	correct
5	0	24	81.19521	correct
6	0	24	81.19521	correct
7	0	24	81.19521	correct
8	0	24	81.19521	correct
9	0	24	81.19521	correct
10	0	24	81.19521	correct
11	0	24	81.19521	correct
12	0	24	81.19521	correct
13	0	24	81.19521	correct
14	0	24	81.19521	correct
15	0	24	81.19521	correct
16	0	24	81.19521	correct
17	0	24	81.19521	correct
18	0	24	81.19521	correct
19	0	24	81.19521	correct
20	0	24	81.19521	correct
21	0	24	81.19521	correct
22	0	24	81.19521	correct
23	0	24	81.19521	correct
24	0	24	81.19521	correct
25	0	24	81.19521	correct
26	0	24	81.19521	correct
27	0	24	81.19521	correct
28	0	24	81.19521	correct
29	0	24	81.19521	correct
30	0	24	81.19521	correct
31	0	24	81.19521	correct
32	0	24	81.19521	correct
33	0	24	81.19521	correct
34	0	24	81.19521	correct
35	0	24	81.19521	correct
36	0	24	81.19521	correct
37	0	24	81.19521	correct
38	0	24	81.19521	correct
39	0	24	81.19521	correct
40	0	24	81.19521	correct
41	0	24	81.19521	correct
42	0	24	81.19521	correct
43	3	24	81.19521	false negative
44	3	24	81.19521	false negative
45	3	24	81.19521	false negative
46	0	24	81.19521	correct
47	0	24	81.19521	correct
48	0	24	81.19521	correct
49	0	24	81.19521	correct
50	0	24	81.19521	correct
51	0	24	81.19521	correct
52	0	24	81.19521	correct
53	0	24	81.19521	correct
54	0	24	81.19521	correct
55	0	24	81.19521	correct
56	0	24	81.19521	correct
57	0	24	81.19521	correct
58	0	24	81.19521	correct
59	0	24	81.19521	correct
60	0	24	81.19521	correct
61	0	24	81.19521	correct
62	0	24	81.19521	correct
63	0	24	81.19521	correct
64	0	24	81.19521	correct
65	0	24	81.19521	correct
66	0	24	81.19521	correct
67	0	24	81.19521	correct
68	0	24	81.19521	correct
69	0	24	81.19521	correct
70	0	24	81.19521	correct
71	0	24	81.19521	correct
72	0	24	81.19521	correct
73	0	24	81.19521	correct
74	0	24	81.19521	correct
75	0	24	81.19521	correct
76	0	24	81.19521	correct
77	0	24	81.19521	correct
78	0	24	81.19521	correct
79	0	24	81.19521	correct
80	0	24	81.19521	correct
81	0	24	81.19521	correct
82	0	24	81.19521	correct
83	0	24	81.19521	correct
84	0	24	81.19521	correct
85	0	24	81.19521	correct
86	0	24	81.19521	correct
87	0	24	81.19521	correct
88	3	24	81.19521	false negative
89	3	24	81.19521	false negative
90	3	24	81.19521	false negative
