group	linetype	xmin	xmax	showSelected3
1	1	53.7	135.006516	false positive
2	1	53.7	135.006516	false positive
3	1	53.7	135.006516	false positive
4	1	53.7	135.006516	false positive
5	1	53.7	135.006516	false positive
6	1	53.7	135.006516	false positive
7	1	53.7	135.006516	false positive
8	1	53.7	135.006516	false positive
9	1	53.7	135.006516	false positive
10	1	53.7	135.006516	false positive
11	1	53.7	135.006516	false positive
12	1	53.7	135.006516	false positive
13	1	53.7	135.006516	false positive
14	1	53.7	135.006516	false positive
15	1	53.7	135.006516	false positive
16	1	53.7	135.006516	false positive
17	1	53.7	135.006516	false positive
18	1	53.7	135.006516	false positive
19	1	53.7	135.006516	false positive
20	1	53.7	135.006516	false positive
21	1	53.7	135.006516	false positive
22	1	53.7	135.006516	false positive
23	1	53.7	135.006516	false positive
24	1	53.7	135.006516	false positive
25	1	53.7	135.006516	false positive
26	1	53.7	135.006516	false positive
27	1	53.7	135.006516	false positive
28	1	53.7	135.006516	false positive
29	1	53.7	135.006516	false positive
30	1	53.7	135.006516	false positive
31	0	53.7	135.006516	correct
32	0	53.7	135.006516	correct
33	0	53.7	135.006516	correct
34	0	53.7	135.006516	correct
35	0	53.7	135.006516	correct
36	0	53.7	135.006516	correct
37	0	53.7	135.006516	correct
38	0	53.7	135.006516	correct
39	0	53.7	135.006516	correct
40	0	53.7	135.006516	correct
41	0	53.7	135.006516	correct
42	0	53.7	135.006516	correct
43	0	53.7	135.006516	correct
44	0	53.7	135.006516	correct
45	0	53.7	135.006516	correct
46	1	53.7	135.006516	false positive
47	1	53.7	135.006516	false positive
48	1	53.7	135.006516	false positive
49	1	53.7	135.006516	false positive
50	1	53.7	135.006516	false positive
51	1	53.7	135.006516	false positive
52	1	53.7	135.006516	false positive
53	1	53.7	135.006516	false positive
54	1	53.7	135.006516	false positive
55	1	53.7	135.006516	false positive
56	1	53.7	135.006516	false positive
57	1	53.7	135.006516	false positive
58	1	53.7	135.006516	false positive
59	1	53.7	135.006516	false positive
60	1	53.7	135.006516	false positive
61	1	53.7	135.006516	false positive
62	1	53.7	135.006516	false positive
63	1	53.7	135.006516	false positive
64	1	53.7	135.006516	false positive
65	1	53.7	135.006516	false positive
66	1	53.7	135.006516	false positive
67	1	53.7	135.006516	false positive
68	1	53.7	135.006516	false positive
69	1	53.7	135.006516	false positive
70	1	53.7	135.006516	false positive
71	1	53.7	135.006516	false positive
72	1	53.7	135.006516	false positive
73	0	53.7	135.006516	correct
74	0	53.7	135.006516	correct
75	0	53.7	135.006516	correct
76	0	53.7	135.006516	correct
77	0	53.7	135.006516	correct
78	0	53.7	135.006516	correct
79	0	53.7	135.006516	correct
80	0	53.7	135.006516	correct
81	0	53.7	135.006516	correct
82	0	53.7	135.006516	correct
83	0	53.7	135.006516	correct
84	0	53.7	135.006516	correct
85	0	53.7	135.006516	correct
86	0	53.7	135.006516	correct
87	0	53.7	135.006516	correct
88	0	53.7	135.006516	correct
89	0	53.7	135.006516	correct
90	0	53.7	135.006516	correct
