group	linetype	xmin	xmax	showSelected3
1	0	53.7	135.006516	correct
2	0	53.7	135.006516	correct
3	0	53.7	135.006516	correct
4	0	53.7	135.006516	correct
5	0	53.7	135.006516	correct
6	0	53.7	135.006516	correct
7	0	53.7	135.006516	correct
8	0	53.7	135.006516	correct
9	0	53.7	135.006516	correct
10	0	53.7	135.006516	correct
11	0	53.7	135.006516	correct
12	0	53.7	135.006516	correct
13	0	53.7	135.006516	correct
14	0	53.7	135.006516	correct
15	0	53.7	135.006516	correct
16	0	53.7	135.006516	correct
17	0	53.7	135.006516	correct
18	0	53.7	135.006516	correct
19	0	53.7	135.006516	correct
20	0	53.7	135.006516	correct
21	0	53.7	135.006516	correct
22	0	53.7	135.006516	correct
23	0	53.7	135.006516	correct
24	0	53.7	135.006516	correct
25	0	53.7	135.006516	correct
26	0	53.7	135.006516	correct
27	0	53.7	135.006516	correct
28	0	53.7	135.006516	correct
29	0	53.7	135.006516	correct
30	3	53.7	135.006516	false negative
31	3	53.7	135.006516	false negative
32	3	53.7	135.006516	false negative
33	3	53.7	135.006516	false negative
34	3	53.7	135.006516	false negative
35	3	53.7	135.006516	false negative
36	3	53.7	135.006516	false negative
37	3	53.7	135.006516	false negative
38	3	53.7	135.006516	false negative
39	3	53.7	135.006516	false negative
40	3	53.7	135.006516	false negative
41	3	53.7	135.006516	false negative
42	3	53.7	135.006516	false negative
43	3	53.7	135.006516	false negative
44	3	53.7	135.006516	false negative
45	3	53.7	135.006516	false negative
46	0	53.7	135.006516	correct
47	0	53.7	135.006516	correct
48	0	53.7	135.006516	correct
49	0	53.7	135.006516	correct
50	0	53.7	135.006516	correct
51	0	53.7	135.006516	correct
52	0	53.7	135.006516	correct
53	0	53.7	135.006516	correct
54	0	53.7	135.006516	correct
55	0	53.7	135.006516	correct
56	0	53.7	135.006516	correct
57	0	53.7	135.006516	correct
58	0	53.7	135.006516	correct
59	0	53.7	135.006516	correct
60	0	53.7	135.006516	correct
61	0	53.7	135.006516	correct
62	0	53.7	135.006516	correct
63	0	53.7	135.006516	correct
64	0	53.7	135.006516	correct
65	0	53.7	135.006516	correct
66	0	53.7	135.006516	correct
67	0	53.7	135.006516	correct
68	0	53.7	135.006516	correct
69	0	53.7	135.006516	correct
70	0	53.7	135.006516	correct
71	0	53.7	135.006516	correct
72	0	53.7	135.006516	correct
73	0	53.7	135.006516	correct
74	0	53.7	135.006516	correct
75	0	53.7	135.006516	correct
76	3	53.7	135.006516	false negative
77	3	53.7	135.006516	false negative
78	3	53.7	135.006516	false negative
79	3	53.7	135.006516	false negative
80	3	53.7	135.006516	false negative
81	3	53.7	135.006516	false negative
82	3	53.7	135.006516	false negative
83	3	53.7	135.006516	false negative
84	3	53.7	135.006516	false negative
85	3	53.7	135.006516	false negative
86	3	53.7	135.006516	false negative
87	3	53.7	135.006516	false negative
88	3	53.7	135.006516	false negative
89	3	53.7	135.006516	false negative
90	3	53.7	135.006516	false negative
