group	xintercept
1	-3.87930635568537
2	-3.64730635568537
3	-3.28630635568537
4	-3.07430635568537
5	-2.82930635568537
6	-2.59730635568537
7	-2.57130635568537
8	-2.55930635568537
9	-2.50230635568537
10	-2.42130635568537
11	-2.37430635568537
12	-2.33430635568537
13	-2.02730635568537
14	-1.69730635568537
15	-1.62130635568537
16	-1.59330635568537
17	-1.49630635568537
18	-1.26730635568537
19	-1.12530635568537
20	-1.03830635568537
21	-0.936306355685374
22	-0.880306355685374
23	-0.840306355685374
24	-0.739306355685374
25	-0.567306355685374
26	-0.359306355685374
27	-0.0773063556853737
28	0.137693644314626
29	0.391693644314626
30	0.604693644314626
31	0.704693644314626
32	0.870693644314626
33	1.02369364431463
34	1.11569364431463
35	1.26569364431463
36	1.43469364431463
37	1.70569364431463
38	2.04069364431463
39	2.18469364431463
40	2.24569364431463
41	2.30169364431463
42	2.74269364431463
43	3.15669364431463
44	3.22269364431463
45	3.32869364431463
46	-3.50660718681349
47	-3.38360718681348
48	-3.17160718681349
49	-2.98160718681349
50	-2.76360718681349
51	-2.51960718681349
52	-2.38860718681349
53	-2.32560718681349
54	-2.29560718681349
55	-2.26260718681348
56	-2.22560718681348
57	-2.17360718681348
58	-2.11060718681349
59	-1.95260718681349
60	-1.77660718681349
61	-1.59460718681349
62	-1.46460718681349
63	-1.41260718681348
64	-1.35560718681349
65	-1.34060718681349
66	-1.20860718681349
67	-1.07960718681348
68	-1.01360718681348
69	-0.753607186813485
70	-0.527607186813485
71	-0.468607186813485
72	-0.419607186813485
73	-0.162607186813485
74	0.149392813186515
75	0.278392813186515
76	0.445392813186515
77	0.590392813186515
78	0.688392813186515
79	0.873392813186515
80	1.05339281318652
81	1.12439281318652
82	1.34039281318652
83	1.60739281318652
84	1.67539281318652
85	1.76339281318652
86	1.95339281318652
87	2.35439281318652
88	2.74739281318652
89	2.84639281318652
90	2.89939281318652
91	-3.87930635568537
92	-3.64730635568537
93	-3.28630635568537
94	-3.07430635568537
95	-2.82930635568537
96	-2.59730635568537
97	-2.57130635568537
98	-2.55930635568537
99	-2.50230635568537
100	-2.42130635568537
101	-2.37430635568537
102	-2.33430635568537
103	-2.02730635568537
104	-1.69730635568537
105	-1.62130635568537
106	-1.59330635568537
107	-1.49630635568537
108	-1.26730635568537
109	-1.12530635568537
110	-1.03830635568537
111	-0.936306355685374
112	-0.880306355685374
113	-0.840306355685374
114	-0.739306355685374
115	-0.567306355685374
116	-0.359306355685374
117	-0.0773063556853737
118	0.137693644314626
119	0.391693644314626
120	0.604693644314626
121	0.704693644314626
122	0.870693644314626
123	1.02369364431463
124	1.11569364431463
125	1.26569364431463
126	1.43469364431463
127	1.70569364431463
128	2.04069364431463
129	2.18469364431463
130	2.24569364431463
131	2.30169364431463
132	2.74269364431463
133	3.15669364431463
134	3.22269364431463
135	3.32869364431463
136	-3.50660718681349
137	-3.38360718681348
138	-3.17160718681349
139	-2.98160718681349
140	-2.76360718681349
141	-2.51960718681349
142	-2.38860718681349
143	-2.32560718681349
144	-2.29560718681349
145	-2.26260718681348
146	-2.22560718681348
147	-2.17360718681348
148	-2.11060718681349
149	-1.95260718681349
150	-1.77660718681349
151	-1.59460718681349
152	-1.46460718681349
153	-1.41260718681348
154	-1.35560718681349
155	-1.34060718681349
156	-1.20860718681349
157	-1.07960718681348
158	-1.01360718681348
159	-0.753607186813485
160	-0.527607186813485
161	-0.468607186813485
162	-0.419607186813485
163	-0.162607186813485
164	0.149392813186515
165	0.278392813186515
166	0.445392813186515
167	0.590392813186515
168	0.688392813186515
169	0.873392813186515
170	1.05339281318652
171	1.12439281318652
172	1.34039281318652
173	1.60739281318652
174	1.67539281318652
175	1.76339281318652
176	1.95339281318652
177	2.35439281318652
178	2.74739281318652
179	2.84639281318652
180	2.89939281318652
