group	linetype	xmin	xmax	showSelected3
1	1	24	81.19521	false positive
2	1	24	81.19521	false positive
3	1	24	81.19521	false positive
4	1	24	81.19521	false positive
5	1	24	81.19521	false positive
6	1	24	81.19521	false positive
7	1	24	81.19521	false positive
8	1	24	81.19521	false positive
9	1	24	81.19521	false positive
10	1	24	81.19521	false positive
11	1	24	81.19521	false positive
12	1	24	81.19521	false positive
13	1	24	81.19521	false positive
14	0	24	81.19521	correct
15	0	24	81.19521	correct
16	0	24	81.19521	correct
17	0	24	81.19521	correct
18	0	24	81.19521	correct
19	0	24	81.19521	correct
20	0	24	81.19521	correct
21	0	24	81.19521	correct
22	0	24	81.19521	correct
23	0	24	81.19521	correct
24	0	24	81.19521	correct
25	0	24	81.19521	correct
26	0	24	81.19521	correct
27	0	24	81.19521	correct
28	0	24	81.19521	correct
29	0	24	81.19521	correct
30	0	24	81.19521	correct
31	0	24	81.19521	correct
32	0	24	81.19521	correct
33	0	24	81.19521	correct
34	0	24	81.19521	correct
35	0	24	81.19521	correct
36	0	24	81.19521	correct
37	0	24	81.19521	correct
38	0	24	81.19521	correct
39	0	24	81.19521	correct
40	0	24	81.19521	correct
41	0	24	81.19521	correct
42	0	24	81.19521	correct
43	0	24	81.19521	correct
44	0	24	81.19521	correct
45	0	24	81.19521	correct
46	1	24	81.19521	false positive
47	1	24	81.19521	false positive
48	1	24	81.19521	false positive
49	1	24	81.19521	false positive
50	1	24	81.19521	false positive
51	1	24	81.19521	false positive
52	1	24	81.19521	false positive
53	1	24	81.19521	false positive
54	1	24	81.19521	false positive
55	1	24	81.19521	false positive
56	1	24	81.19521	false positive
57	1	24	81.19521	false positive
58	1	24	81.19521	false positive
59	0	24	81.19521	correct
60	0	24	81.19521	correct
61	0	24	81.19521	correct
62	0	24	81.19521	correct
63	0	24	81.19521	correct
64	0	24	81.19521	correct
65	0	24	81.19521	correct
66	0	24	81.19521	correct
67	0	24	81.19521	correct
68	0	24	81.19521	correct
69	0	24	81.19521	correct
70	0	24	81.19521	correct
71	0	24	81.19521	correct
72	0	24	81.19521	correct
73	0	24	81.19521	correct
74	0	24	81.19521	correct
75	0	24	81.19521	correct
76	0	24	81.19521	correct
77	0	24	81.19521	correct
78	0	24	81.19521	correct
79	0	24	81.19521	correct
80	0	24	81.19521	correct
81	0	24	81.19521	correct
82	0	24	81.19521	correct
83	0	24	81.19521	correct
84	0	24	81.19521	correct
85	0	24	81.19521	correct
86	0	24	81.19521	correct
87	0	24	81.19521	correct
88	0	24	81.19521	correct
89	0	24	81.19521	correct
90	0	24	81.19521	correct
