group	linetype	xmin	xmax	showSelected3
1	0	0	125	correct
2	0	0	125	correct
3	0	0	125	correct
4	0	0	125	correct
5	0	0	125	correct
6	0	0	125	correct
7	0	0	125	correct
8	0	0	125	correct
9	0	0	125	correct
10	0	0	125	correct
11	0	0	125	correct
12	0	0	125	correct
13	0	0	125	correct
14	0	0	125	correct
15	0	0	125	correct
16	0	0	125	correct
17	0	0	125	correct
18	0	0	125	correct
19	0	0	125	correct
20	0	0	125	correct
21	0	0	125	correct
22	0	0	125	correct
23	0	0	125	correct
24	0	0	125	correct
25	0	0	125	correct
26	0	0	125	correct
27	0	0	125	correct
28	0	0	125	correct
29	0	0	125	correct
30	0	0	125	correct
31	0	0	125	correct
32	0	0	125	correct
33	0	0	125	correct
34	0	0	125	correct
35	0	0	125	correct
36	0	0	125	correct
37	0	0	125	correct
38	0	0	125	correct
39	0	0	125	correct
40	0	0	125	correct
41	0	0	125	correct
42	0	0	125	correct
43	0	0	125	correct
44	3	0	125	false negative
45	3	0	125	false negative
46	0	0	125	correct
47	0	0	125	correct
48	0	0	125	correct
49	0	0	125	correct
50	0	0	125	correct
51	0	0	125	correct
52	0	0	125	correct
53	0	0	125	correct
54	0	0	125	correct
55	0	0	125	correct
56	0	0	125	correct
57	0	0	125	correct
58	0	0	125	correct
59	0	0	125	correct
60	0	0	125	correct
61	0	0	125	correct
62	0	0	125	correct
63	0	0	125	correct
64	0	0	125	correct
65	0	0	125	correct
66	0	0	125	correct
67	0	0	125	correct
68	0	0	125	correct
69	0	0	125	correct
70	0	0	125	correct
71	0	0	125	correct
72	0	0	125	correct
73	0	0	125	correct
74	0	0	125	correct
75	0	0	125	correct
76	0	0	125	correct
77	0	0	125	correct
78	0	0	125	correct
79	0	0	125	correct
80	0	0	125	correct
81	0	0	125	correct
82	0	0	125	correct
83	0	0	125	correct
84	0	0	125	correct
85	0	0	125	correct
86	0	0	125	correct
87	0	0	125	correct
88	0	0	125	correct
89	0	0	125	correct
90	3	0	125	false negative
