group	linetype	xmin	xmax	showSelected3
1	0	0	50.4	correct
2	0	0	50.4	correct
3	0	0	50.4	correct
4	0	0	50.4	correct
5	0	0	50.4	correct
6	0	0	50.4	correct
7	0	0	50.4	correct
8	0	0	50.4	correct
9	0	0	50.4	correct
10	0	0	50.4	correct
11	0	0	50.4	correct
12	0	0	50.4	correct
13	0	0	50.4	correct
14	0	0	50.4	correct
15	0	0	50.4	correct
16	0	0	50.4	correct
17	0	0	50.4	correct
18	0	0	50.4	correct
19	0	0	50.4	correct
20	0	0	50.4	correct
21	0	0	50.4	correct
22	0	0	50.4	correct
23	0	0	50.4	correct
24	0	0	50.4	correct
25	0	0	50.4	correct
26	0	0	50.4	correct
27	0	0	50.4	correct
28	0	0	50.4	correct
29	0	0	50.4	correct
30	0	0	50.4	correct
31	0	0	50.4	correct
32	0	0	50.4	correct
33	0	0	50.4	correct
34	0	0	50.4	correct
35	0	0	50.4	correct
36	0	0	50.4	correct
37	3	0	50.4	false negative
38	3	0	50.4	false negative
39	3	0	50.4	false negative
40	3	0	50.4	false negative
41	3	0	50.4	false negative
42	3	0	50.4	false negative
43	3	0	50.4	false negative
44	3	0	50.4	false negative
45	3	0	50.4	false negative
46	0	0	50.4	correct
47	0	0	50.4	correct
48	0	0	50.4	correct
49	0	0	50.4	correct
50	0	0	50.4	correct
51	0	0	50.4	correct
52	0	0	50.4	correct
53	0	0	50.4	correct
54	0	0	50.4	correct
55	0	0	50.4	correct
56	0	0	50.4	correct
57	0	0	50.4	correct
58	0	0	50.4	correct
59	0	0	50.4	correct
60	0	0	50.4	correct
61	0	0	50.4	correct
62	0	0	50.4	correct
63	0	0	50.4	correct
64	0	0	50.4	correct
65	0	0	50.4	correct
66	0	0	50.4	correct
67	0	0	50.4	correct
68	0	0	50.4	correct
69	0	0	50.4	correct
70	0	0	50.4	correct
71	0	0	50.4	correct
72	0	0	50.4	correct
73	0	0	50.4	correct
74	0	0	50.4	correct
75	0	0	50.4	correct
76	0	0	50.4	correct
77	0	0	50.4	correct
78	0	0	50.4	correct
79	0	0	50.4	correct
80	0	0	50.4	correct
81	0	0	50.4	correct
82	3	0	50.4	false negative
83	3	0	50.4	false negative
84	3	0	50.4	false negative
85	3	0	50.4	false negative
86	3	0	50.4	false negative
87	3	0	50.4	false negative
88	3	0	50.4	false negative
89	3	0	50.4	false negative
90	3	0	50.4	false negative
